id,split,claim,invalid_supporting_facts
66792374-b611-44aa-b903-4bd8709cb908,train,"This movie is based on a book by the Austrian author who also wrote The Hound of Florence, The Country Bears is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
a61974ff-1adf-469a-b46a-a0903eb50f7f,train,"This 1938 movie is based on a book by the Austrian author Felix Salten, The Country Bears is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
448c124d-4531-442b-8c3e-052f9344f594,train,"This 2001 documentary is based on a book by the Austrian author who also wrote The Hound of Florence, The Country Bears is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
b5357553-95dc-4763-bf94-e77f83672342,train,"This movie is based on a book by the Austrian author Felix Salten, The film where Candy Ford voiced Salten is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
570246db-03b2-450b-bc7e-09f15556425c,train,"This movie is based on a book by the German author Felix Salten, The film where Candy Ford voiced Trixie is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
a490061f-d7bc-4c1f-814b-3c9f91e83b9a,train,"This movie is based on a book by the Austrian author Felix Salten, The film where Candy Ford voiced Trixie is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
1867a82f-24f9-4e92-af74-ec910bc4a418,train,"This movie is based on a book by the Austrian author Felix Salten, The Country Bears is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
e68a2a37-a304-4992-aa3f-f525fa0addfc,train,"This movie is based on a book by the German author who also wrote The Hound of Florence, The Country Bears is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
28b6e328-341a-4206-95ae-61b3bd8ed814,train,"This movie is based on a book by the Austrian author Faline, The Country Bears is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
61a7b876-e6dd-4f38-a794-4a457d01eca8,train,"This horror movie is based on a book by the Austrian author Felix Salten, The film where Candy Ford voiced Trixie is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
b79c4050-3cda-4002-ba5a-223ea71ec275,train,"This movie is based on a book by the German author Felix Salten, The Country Bears is not. The movie was restored and preserved by John D. Lowry.","[[""John D. Lowry"", 4, 4]]"
d6d69450-efff-4659-978c-e709294cc35e,train,"Between this plant and Darwinia, the genus with more species is Darwinia. This plant is called Saule in French.","[[""Saule"", 0, 0]]"
8556a178-ceba-470d-abd1-df5cd287f2ba,train,"Between this flowering plant and Darwinia, the genus with more species is Darwinia. This plant is called Saule in French.","[[""Saule"", 0, 0]]"
32dc2c64-cd52-4bee-ad2f-9c149ef61986,train,"The vehicle that first used the VarioCam was the last in a line of front-engined vehicles, following the 944 and the 924.","[[""VarioCam"", 2, 2]]"
04152301-dc5e-43ed-80a4-b7591d2db666,train,"The vehicle that first used the VarioCam was the last in a line of front-engined sports cars, following the 944 and the 924.","[[""VarioCam"", 2, 2]]"
24dc0e15-3b0e-4ee4-ac3c-81aff056ea82,train,"The sedan that first used the VarioCam was the last in a line of front-engined sports cars, following the 944 and the 924.","[[""VarioCam"", 2, 2]]"
0d10ec6b-1e9d-4f76-a01d-8ed01ece8ab9,train,"DJ Mark Ronson co-wrote this song. That song was sung by a female singer. The female singer released the song ""Sheezus"".","[[""Lily Allen discography"", 8, 8]]"
adf68a23-ad36-433c-94ff-5a63a55f7ced,train,DJ Mark Ronson co-wrote this song. That song was sung by  Lily Allen.,"[[""Lily Allen discography"", 8, 8]]"
ab23efa5-ce91-4aa4-a9a7-5e5d4718ef29,train,"DJ Mark Ronson co-wrote this song. That song was sung by a female singer who had previously released three albums. The female singer released the song ""Sheezus"".","[[""Lily Allen discography"", 8, 8]]"
74bc0ef2-ab80-40f5-ac1d-e090a2a82cd7,train,The city that News5 is headquartered includes a shopping mall. It is located in the Ortigas Center.,"[[""News5"", 3, 3]]"
